dx = 0.010000, dy = 0.010204
t = 0.100000
0.295000 0.668367 0.109155
0.295000 0.678571 0.117402
0.295000 0.688776 0.123547
0.295000 0.698980 0.127411
0.295000 0.709184 0.128891
0.295000 0.719388 0.127928
0.295000 0.729592 0.124506
0.295000 0.739796 0.118754
0.295000 0.750000 0.110824
0.295000 0.760204 0.100962
0.305000 0.637755 0.108915
0.305000 0.647959 0.124295
0.305000 0.658163 0.138283
0.305000 0.668367 0.150505
0.305000 0.678571 0.160602
0.305000 0.688776 0.168268
0.305000 0.698980 0.173262
0.305000 0.709184 0.175391
0.305000 0.719388 0.174638
0.305000 0.729592 0.170972
0.305000 0.739796 0.164521
0.305000 0.750000 0.155440
0.305000 0.760204 0.144003
0.305000 0.770408 0.130516
0.305000 0.780612 0.115358
0.315000 0.617347 0.104603
0.315000 0.627551 0.124402
0.315000 0.637755 0.143733
0.315000 0.647959 0.162070
0.315000 0.658163 0.178870
0.315000 0.668367 0.193626
0.315000 0.678571 0.205879
0.315000 0.688776 0.215299
0.315000 0.698980 0.221614
0.315000 0.709184 0.224594
0.315000 0.719388 0.224165
0.315000 0.729592 0.220344
0.315000 0.739796 0.213202
0.315000 0.750000 0.202944
0.315000 0.760204 0.189853
0.315000 0.770408 0.174299
0.315000 0.780612 0.156725
0.315000 0.790816 0.137624
0.315000 0.801020 0.117516
0.325000 0.607143 0.110084
0.325000 0.617347 0.133064
0.325000 0.627551 0.156368
0.325000 0.637755 0.179201
0.325000 0.647959 0.200772
0.325000 0.658163 0.220471
0.325000 0.668367 0.237760
0.325000 0.678571 0.252173
0.325000 0.688776 0.263357
0.325000 0.698980 0.271023
0.325000 0.709184 0.275012
0.325000 0.719388 0.275152
0.325000 0.729592 0.271443
0.325000 0.739796 0.263929
0.325000 0.750000 0.252790
0.325000 0.760204 0.238273
0.325000 0.770408 0.220755
0.325000 0.780612 0.200712
0.325000 0.790816 0.178723
0.325000 0.801020 0.155439
0.325000 0.811224 0.131519
0.325000 0.821429 0.107602
0.335000 0.596939 0.108896
0.335000 0.607143 0.134393
0.335000 0.617347 0.161124
0.335000 0.627551 0.187937
0.335000 0.637755 0.213686
0.335000 0.647959 0.237816
0.335000 0.658163 0.259840
0.335000 0.668367 0.279250
0.335000 0.678571 0.295620
0.335000 0.688776 0.308541
0.335000 0.698980 0.317657
0.335000 0.709184 0.322772
0.335000 0.719388 0.323734
0.335000 0.729592 0.320473
0.335000 0.739796 0.313059
0.335000 0.750000 0.301615
0.335000 0.760204 0.286388
0.335000 0.770408 0.267700
0.335000 0.780612 0.245964
0.335000 0.790816 0.221689
0.335000 0.801020 0.195497
0.335000 0.811224 0.168140
0.335000 0.821429 0.140478
0.335000 0.831633 0.113393
0.345000 0.586735 0.101334
0.345000 0.596939 0.128270
0.345000 0.607143 0.157200
0.345000 0.617347 0.187015
0.345000 0.627551 0.216047
0.345000 0.637755 0.243939
0.345000 0.647959 0.270427
0.345000 0.658163 0.294788
0.345000 0.668367 0.316418
0.345000 0.678571 0.334817
0.345000 0.688776 0.349544
0.345000 0.698980 0.360272
0.345000 0.709184 0.366663
0.345000 0.719388 0.368591
0.345000 0.729592 0.365972
0.345000 0.739796 0.358829
0.345000 0.750000 0.347293
0.345000 0.760204 0.331604
0.345000 0.770408 0.312096
0.345000 0.780612 0.289198
0.345000 0.790816 0.263416
0.345000 0.801020 0.235324
0.345000 0.811224 0.205568
0.345000 0.821429 0.174885
0.345000 0.831633 0.144130
0.345000 0.841837 0.114328
0.355000 0.586735 0.115457
0.355000 0.596939 0.145034
0.355000 0.607143 0.176615
0.355000 0.617347 0.208185
0.355000 0.627551 0.239088
